Fecha-Hora  (UTC),Lat(°),Long(°),Prof(Km),Mag.,Tipo Mag.,Rms(Seg),Gap(°),Error Lat(Km),Error Long(Km),Error Prof(Km),Region,Estado,lat_corregida,lon_corregida,municipio,departamento,cod_municipio,cod_departamento
41708.682025462964,8614,-73880,45.805,4.5717,MLr_vmm,0.2,154,45778.0,45778.0,45692.0,"Río Viejo - Bolívar, Colombia",Manual,8.614,-73.88,RIOVIEJO,BOLÍVAR,600,13
41708.70238425926,8847,-73511,0.033100000000000004,4.5717,MLr_vmm,0.2,257,45783.0,45842.0,45664.0,"Pailitas - Cesar, Colombia",Manual,8.847,-73.511,PAILITAS,CESAR,517,20
41708.989375,7926,-73796,0.0496,4.5809,MLr_vmm,0.1,215,4.0,45873.0,45692.0,"Simití - Bolívar, Colombia",Manual,7.926,-73.796,PUERTO WILCHES,SANTANDER,575,68
41709.17335648148,7342,-74006,0.034,9e-05,MLr_vmm,0.5,172,45811.0,45752.0,45756.0,"Cantagallo - Bolívar, Colombia",Manual,7.342,-74.006,CANTAGALLO,BOLÍVAR,160,13
41709.78364583333,7094,-74133,0.0,9e-05,MLr_vmm,0.4,152,45810.0,45751.0,45697.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,7.094,-74.133,YONDÓ (Casabe),ANTIOQUIA,893,05
41709.88962962963,7402,-74297,0.0,0.0001,MLr_vmm,0.4,101,45660.0,45749.0,45665.0,"Cantagallo - Bolívar, Colombia",Manual,7.402,-74.297,SAN PABLO,BOLÍVAR,670,13
41709.91844907407,7965,-74325,0.0494,4.587,MLr_vmm,0.3,148,45749.0,45719.0,45845.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,7.965,-74.325,MONTECRISTO,BOLÍVAR,458,13
41710.35508101852,8612,-73706,0.0417,4.5658,MLr_vmm,0.0,192,45689.0,0.9,2.0,"Pelaya - Cesar, Colombia",Manual,8.612,-73.706,LA GLORIA,CESAR,383,20
41710.48643518519,7644,-74252,0.0,2.9999999999999997e-05,MLr_vmm,0.3,153,45690.0,45660.0,45783.0,"San Pablo - Bolívar, Colombia",Manual,7.644,-74.252,SANTA ROSA DEL SUR,BOLÍVAR,688,13
41710.6515625,7703,-73106,45.913,4.5718,MLr_vmm,0.1,153,45779.0,45842.0,45906.0,"Cáchira - Norte de Santander, Colombia",Manual,7.703,-73.106,CÁCHIRA,NORTE DE SANTANDER,128,54
41711.4853125,7383,-74075,45.818,4.5658,MLr_vmm,0.2,181,45778.0,45779.0,45755.0,"Cantagallo - Bolívar, Colombia",Manual,7.383,-74.075,CANTAGALLO,BOLÍVAR,160,13
